id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita_hipertensi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,830741,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,556688,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,146150,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,192787,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70587,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,165418,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,678232,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,60110,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34641,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,62345,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,99957,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,116345,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,180694,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,49891,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,44109,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,109626,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,115089,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,153560,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,128259,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,22782,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,975300,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,476574,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,400822,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,111504,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,139743,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69706,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68736,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,75272,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,174538,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,146231,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,270225,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,42438,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,73555,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52994,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,141053,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,97434,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,74814,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,53635,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,60271,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,132662,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,136633,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,72189,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,139331,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,66240,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63385,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,13090,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,986323,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,471373,ORANG,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,134573,ORANG,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,111504,ORANG,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,255443,ORANG,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,86176,ORANG,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,136437,ORANG,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,75272,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,73173,ORANG,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,127852,ORANG,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,244911,ORANG,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,302830,ORANG,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,117010,ORANG,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138881,ORANG,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,337541,ORANG,2021
