id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita_hipertensi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1313562,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,572865,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,910907,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70587,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,817452,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,634074,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,357883,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,249365,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,403125,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,228109,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,606946,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,652742,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,79657,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,221098,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,722933,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,519450,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,618117,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,104868,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,56410,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1624893,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,566095,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,759786,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1306543,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,837842,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69706,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,296944,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,222360,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,644577,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,361123,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,295651,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,550316,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,502937,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,240267,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,141053,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,631428,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,92395,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,77938,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,222497,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,722933,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,88568,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,546283,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,640008,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,175156,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,207364,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,56637,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,1412925,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,558531,ORANG,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,785294,ORANG,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1306543,ORANG,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,861324,ORANG,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,638521,ORANG,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,398281,ORANG,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,222360,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,648010,ORANG,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,768968,ORANG,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,248174,ORANG,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,550316,ORANG,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,512669,ORANG,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,231691,ORANG,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,623205,ORANG,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,658978,ORANG,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,423891,ORANG,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,147446,ORANG,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,55386,ORANG,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,77257,ORANG,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,722933,ORANG,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,77723,ORANG,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,667811,ORANG,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,513142,ORANG,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,175156,ORANG,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,215761,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,61015,ORANG,2021
